LAPS,✔,✔,✔
Long Term Servicing Channel,✔,✔,✔
Manage by MDM,✔,✔,✔
Persistent Memory,✔,✔,✔
Power Automate Attended Desktop Flows,✔,✔,✔
Resilient File System (ReFS),✔,✔,✔
SMB Direct,✔,✔,✔
Unbranded Boot,✔,✔,✔
Unified Write Filter,✔,✔,✔
Universal Print,✔,✔,✔
Windows Autopatch,✔,✔,✔
Windows Conditional Access,✔,✔,✔
Windows Firewall,✔,✔,✔
Windows Hello for Business,✔,✔,✔
Windows Update for Business,✔,✔,✔
Windows Virtualization Rights,✔,✔,✔
Windows 11 Support Period,36 months,36 months,36 months
Suite Value,,,
Agent 365,,,✔
 > Agent Access Control,,,✔
 > Agent Compliance,,,✔
 > Agent Management,,,✔
 > Agent Map,,,✔
 > Agent Monitoring,,,✔
 > Agent Registry,,,✔
 > Agent Security,,,✔
Adaptive Protection,,✔,✔
Defender for IoT - eIoT (5 devices),,✔,✔
Endpoint DLP,,✔,✔
Entra Suite add-on to Entra ID Plan 2,,,✔
 > Entra Internet Access,,,✔
 > Entra Private Access,,,✔
 > Entra ID Governance add-on to Entra ID Plan 2,,,✔
 > > Entitlement Management (premium),,,✔
 > > Identity Governance Dashboard,,,✔
 > > Lifecycle Workflows,,,✔
 > > ML Assisted Access Reviews,,,✔
 > Entra Verified ID Premium,,,✔
 > > Face Check,,,✔
FastTrack,✔,✔,✔
Insider Risk Management,,✔,✔
Microsoft 365 Copilot (Premium),,,✔
 > AI Priority Access,,,✔
 > Copilot Actions,,,✔
 > Copilot Chat (Work),,,✔
 > Copilot Cowork (frontier),,,✔
 > Copilot Dashboard,,,✔
 > Copilot in Clipchamp,,,✔
 > Copilot in Excel,,,✔
 > Copilot in Forms,,,✔
 > Copilot in Loop,,,✔
 > Copilot in OneDrive,,,✔
 > Copilot in OneNote,,,✔
 > Copilot in Outlook,,,✔
 > Copilot in Planner,,,✔
 > Copilot in PowerPoint,,,✔
 > Copilot in SharePoint,,,✔
 > Copilot in Teams,,,✔
 > Copilot in Whiteboard,,,✔
 > Copilot in Word,,,✔
 > Copilot Notebooks,,,✔
 > Copilot Prompt Gallery,,,✔
 > Copilot Search,,,✔
 > Copilot Studio for Microsoft 365,,,✔
 > Copilot Tuning (preview),,,✔
 > Graph and Connector Access Included,,,✔
 > Intelligent Recap,,,✔
 > Microsoft 365 Agents,,,✔
 > Microsoft Places (AI features),,,✔
 > Model Choice,,,✔
 > SharePoint Agents,,,✔
" > Viva Insights - Manager, Leader, Analyst",,,✔
 > Viva Pulse for Copilot,,,✔
 > SharePoint Advanced Management for Copilot,,,✔
 > > Advanced Tenant Rename,,,✔
 > > Agent Content Access Insights,,,✔
 > > Agent Insights,,,✔
 > > AI-Powered Insights,,,✔
 > > Block Download Policy,,,✔
 > > Compare Site Policies,,,✔
 > > Conditional Access for Sites,,,✔
 > > Content Management Assessments,,,✔
 > > Data Access Governance Reports,,,✔
 > > Data Access Governance Reports PowerShell,,,✔
 > > Enterprise App Insight Reports,,,✔
 > > Inactive Sites Policy,,,✔
 > > Recent Site Actions,,,✔
 > > Request Site Attestation,,,✔
 > > Restricted Access Control for OneDrive,,,✔
 > > Restricted Access Control for SharePoint,,,✔
 > > Restricted Content Discovery,,,✔
 > > Restricted Site Creation by Apps,,,✔
 > > SharePoint App Insights,,,✔
 > > SharePoint Catalog Management,,,✔
 > > Site Access Review,,,✔
 > > Site Change History Reports,,,✔
 > > Site Ownership Policy,,,✔
Minecraft Education Edition,,,
Office Professional Plus,✔,✔,✔
Office Servers,✔,✔,✔
Safe Documents,,✔,✔
Security Copilot,,✔,✔
Sentinel Benefit,,✔,✔
Student Use Benefits,,,
Trainable Classifiers,,✔,✔
Related Services,,,
Security & Compliance,,,
10-Year Audit Log Retention,,+,+
AccountGuard,+,+,+
Advanced Data Residency,+,+,+
Azure Automation,Δ,Δ,Δ
Azure Backup,Δ,Δ,Δ
Azure Bastion,Δ,Δ,Δ
Azure Log Analytics,Δ,Δ,Δ
Azure RBAC,Δ,Δ,Δ
Azure Update Manager,Δ,Δ,Δ
Compliance Premium Assessments,+,+,+
Cross-Tenant Migration,+,+,+
Defender CSPM,Δ,Δ,Δ
Defender EASM,Δ,Δ,Δ
Defender for Business,,,
Defender for Business Servers,,,
Defender for Cloud,Δ,Δ,Δ
Defender for Servers,Δ,Δ,Δ
Defender Suite,+,✔,✔
Defender Threat Intelligence (retiring),Δ,Δ,Δ
Defender Threat Intelligence API,Δ,Δ,Δ
Defender Vulnerability Management (premium),,+,+
 > Authenticated Scan For Windows,⊡,⊡,⊡
 > Block Vulnerable Applications,⊡,⊡,⊡
 > Browser Extensions Assessment,⊡,⊡,⊡
 > Digital Certificate Assessment,⊡,⊡,⊡
 > Hardware & Firmware Assessment,⊡,⊡,⊡
 > Network Share Analysis,⊡,⊡,⊡
 > Security Baselines Assessment,⊡,⊡,⊡
 > Defender Vulnerability Management (core),,✔,✔
 > > Configuration Assessment,,✔,✔
 > > Continuous Monitoring,,✔,✔
 > > Device Discovery,,✔,✔
 > > Device Inventory,,✔,✔
 > > Remediation Tracking,,✔,✔
 > > Risk Based Prioritization,,✔,✔
 > > Software Inventory,,✔,✔
 > > Software Usage Insights,,✔,✔
 > > Vulnerability Assessment,,✔,✔
Insider Risk Management Forensic Evidence,,+,+
Intune Suite,+,✔,✔
 > Intune Advanced Analytics,✔,✔,✔
 > Intune Cloud PKI,+,✔,✔
 > Intune Endpoint Privilege Management,+,✔,✔
 > Intune Enterprise App Management,+,✔,✔
 > Intune Remote Help,✔,✔,✔
 > Intune Plan 2,✔,✔,✔
 > > Firmware Over-the-Air Updates,✔,✔,✔
 > > Specialty Device Management,✔,✔,✔
 > > Tunnel for MAM,✔,✔,✔
Microsoft 365 Archive,Δ,Δ,Δ
Microsoft 365 Backup,Δ,Δ,Δ
Microsoft 365 Lighthouse,+,+,+
Microsoft Sentinel,Δ,Δ,Δ
Microsoft Tunnel,+,+,+
Multi-Geo,+,+,+
Purview Suite,+,✔,✔
Security Copilot,Δ,✔,✔
SharePoint Advanced Management Plan 1,+,+,+
 > Restricted Site Creation by Users,⊡,⊡,⊡
 > SharePoint Advanced Management for Copilot,⊡,⊡,✔
 > > Advanced Tenant Rename,⊡,⊡,✔
 > > Agent Content Access Insights,⊡,⊡,✔
 > > Agent Insights,⊡,⊡,✔
 > > AI-Powered Insights,⊡,⊡,✔
 > > Block Download Policy,⊡,⊡,✔
 > > Compare Site Policies,⊡,⊡,✔
 > > Conditional Access for Sites,⊡,⊡,✔
 > > Content Management Assessments,⊡,⊡,✔
 > > Data Access Governance Reports,⊡,⊡,✔
 > > Data Access Governance Reports PowerShell,⊡,⊡,✔
 > > Enterprise App Insight Reports,⊡,⊡,✔
 > > Inactive Sites Policy,⊡,⊡,✔
 > > Recent Site Actions,⊡,⊡,✔
 > > Request Site Attestation,⊡,⊡,✔
 > > Restricted Access Control for OneDrive,⊡,⊡,✔
 > > Restricted Access Control for SharePoint,⊡,⊡,✔
 > > Restricted Content Discovery,⊡,⊡,✔
 > > Restricted Site Creation by Apps,⊡,⊡,✔
 > > SharePoint App Insights,⊡,⊡,✔
 > > SharePoint Catalog Management,⊡,⊡,✔
 > > Site Access Review,⊡,⊡,✔
 > > Site Change History Reports,⊡,⊡,✔
 > > Site Ownership Policy,⊡,⊡,✔
Microsoft Entra,,,
Entra Domain Services,Δ,Δ,Δ
Entra External ID,✔,✔,✔
Entra ID,✔,✔,✔
Entra Suite add-on to Entra ID Plan 1,+,,
 > Entra ID Plan 2 Step-up,+,✔,✔
 > > Access Reviews,⊡,✔,✔
 > > Entitlement Management (basic),⊡,✔,✔
 > > Entra ID Protection,⊡,✔,✔
 > > MFA Registration Policy,⊡,✔,✔
 > > Privileged Identity Management,⊡,✔,✔
 > > Risk-Based Conditional Access,⊡,✔,✔
 > Entra Suite add-on to Entra ID Plan 2,,+,✔
 > > Entra Internet Access,Δ,Δ,✔
